Web;Navegador;Latencia_Media;Latencia_Desv;Latencia_Min;Latencia_Max;TTL_Moda;TTL_Media
microsoft.com;FIREFOX;11124.377906976744;14260.157249824233;657;129259;54;78.52325581395348
microsoftonline.com;CHROME;4035.8028169014083;5267.919390368509;678;26822;117;103.61971830985915
microsoftonline.com;EDGE;13322.75;18274.06256504984;740;80230;43;65.88333333333334
microsoftonline.com;FIREFOX;3258.2241379310344;5601.992922457755;877;17324;54;60.63793103448276
miui.com;CHROME;17283.907692307694;28949.023393891825;757;135910;117;77.75384615384615
miui.com;EDGE;19020.852941176472;29283.023740403518;877;143758;50;56.838235294117645
miui.com;FIREFOX;17270.910714285714;35207.857938651236;762;134889;54;56.910714285714285
msftconnecttest.com;CHROME;5622.236111111111;16359.758822125537;717;137007;117;95.375
msftconnecttest.com;EDGE;11763.620689655172;14449.6536711063;733;70458;51;58.839080459770116
msftconnecttest.com;FIREFOX;6770.051282051282;15791.700433922202;735;70521;54;60.97435897435897
msftncsi.com;CHROME;3860.347222222222;4471.051394010084;715;12575;117;95.54166666666667
msftncsi.com;EDGE;10971.80487804878;11554.135484793467;706;71805;51;57.34146341463415
msftncsi.com;FIREFOX;2887.6;5166.459459332624;711;17516;54;56.542857142857144
msn.com;CHROME;8647.47341772152;11434.311541256644;699;118086;117;94.17215189873417
msn.com;EDGE;9238.48632218845;11400.505765442671;691;117919;51;85.31003039513678
msn.com;FIREFOX;7699.696319018405;9901.112979697024;682;72583;54;82.19325153374233
mzstatic.com;CHROME;11253.984251968504;17252.629926498234;696;61037;118;105.07086614173228
mzstatic.com;EDGE;15056.046153846153;15997.072142415194;689;60912;42;72.6
mzstatic.com;FIREFOX;10960.216216216217;18735.46799347814;701;61060;54;77.47747747747748
netflix.com;CHROME;8385.30042918455;13413.475964583404;687;56637;53;76.89270386266094
netflix.com;EDGE;10993.545918367347;13817.563656000448;694;56226;53;60.12244897959184
netflix.com;FIREFOX;11161.993055555555;19460.601685408896;698;123147;53;67.55555555555556
ntp.org;CHROME;11485.189102564103;20495.484234796393;674;78541;117;95.86538461538461
ntp.org;EDGE;13005.009868421053;20366.333719438055;700;76732;118;82.8157894736842
ntp.org;FIREFOX;13091.478813559323;22993.662424805927;701;76775;117;79.41525423728814
office.com;CHROME;11042.810126582279;12136.85527611895;691;56834;118;72.84388185654008
office.com;EDGE;13817.773755656108;15553.75261043979;684;122651;43;57.30769230769231
office.com;FIREFOX;9436.864734299517;13322.593297330679;687;71764;54;61.091787439613526
office.net;CHROME;3760.3888888888887;4543.716911050042;699;12717;117;102.73611111111111
office.net;EDGE;14016.025;17454.20341305146;696;122441;43;60.2
office.net;FIREFOX;3379.1929824561403;5672.252781991209;890;18279;54;60.824561403508774
office365.com;CHROME;9001.924528301886;17210.797955068825;658;137367;51;76.47641509433963
office365.com;EDGE;10323.434146341464;14679.98362790282;682;78592;51;61.204878048780486
office365.com;FIREFOX;9888.995;18187.648500420528;660;119875;54;77.81
one.one;CHROME;6702.882051282051;7108.462384046061;706;44010;117;112.9076923076923
one.one;EDGE;10136.166666666666;8702.931839030474;672;54677;43;85.69642857142857
one.one;FIREFOX;5431.756578947368;5903.357508020846;740;17804;54;91.13157894736842
playstation.net;CHROME;7159.333333333333;5969.14122801597;813;13256;117;109.88888888888889
playstation.net;EDGE;11694.25;3356.4778201476106;8606;17161;107;74.0
playstation.net;FIREFOX;2124.3571428571427;3242.8425234457695;974;13322;54;76.64285714285714
publicnode.com;CHROME;5567.1;5205.882670442858;697;13420;117;96.98571428571428
publicnode.com;EDGE;8914.690647482015;5190.959924699808;704;21251;53;66.39568345323741
publicnode.com;FIREFOX;5134.364406779661;5876.344684323639;857;17233;54;71.03389830508475
pubmatic.com;CHROME;4430.373493975903;4969.495691042822;675;13369;54;101.34939759036145
pubmatic.com;EDGE;5479.24358974359;5098.692882933308;692;14106;54;92.36538461538461
pubmatic.com;FIREFOX;4353.297468354431;5471.959252173373;713;17311;54;88.79113924050633
qq.com;CHROME;50605.71428571428;51342.164582005265;872;148777;48;59.96031746031746
